index,market balance,vault balance,bet count,in play count, total in play, total exposure
90257800,338342221,223657779,19,19,62000000,276342221
90258300,338342221,223657779,19,19,62000000,276342221
90258800,338342221,223657779,19,19,62000000,276342221
90259300,338342221,223657779,19,19,62000000,276342221
90259800,338342221,223657779,19,19,62000000,276342221
90260300,338342221,223657779,19,19,62000000,276342221
90260800,338342221,223657779,19,19,62000000,276342221
90261300,338342221,223657779,19,19,62000000,276342221
90261800,338342221,223657779,19,19,62000000,276342221
90262300,338342221,223657779,19,19,62000000,276342221
90262800,338342221,223657779,19,19,62000000,276342221
90263300,338342221,223657779,19,19,62000000,276342221
90263800,338342221,223657779,19,19,62000000,276342221
90264300,338342221,223657779,19,19,62000000,276342221
90264800,338342221,223657779,19,19,62000000,276342221
90265300,338342221,223657779,19,19,62000000,276342221
90265800,338342221,223657779,19,19,62000000,276342221
90266300,338342221,223657779,19,19,62000000,276342221
90266800,338342221,223657779,19,19,62000000,276342221
90267300,338342221,223657779,19,19,62000000,276342221
90267800,338342221,223657779,19,19,62000000,276342221
90268300,338342221,223657779,19,19,62000000,276342221
90268800,338342221,223657779,19,19,62000000,276342221
90269300,338342221,223657779,19,19,62000000,276342221
90269800,338342221,223657779,19,19,62000000,276342221
90270300,338342221,223657779,19,19,62000000,276342221
90270800,338342221,223657779,19,19,62000000,276342221
90271300,338342221,223657779,19,19,62000000,276342221
90271800,338342221,223657779,19,19,62000000,276342221
90272300,338342221,223657779,19,19,62000000,276342221
90272800,338342221,223657779,19,19,62000000,276342221
90273300,338342221,223657779,19,19,62000000,276342221
90273800,338342221,223657779,19,19,62000000,276342221
90274300,338342221,223657779,19,19,62000000,276342221
90274800,338342221,223657779,19,19,62000000,276342221
90275300,338342221,223657779,19,19,62000000,276342221
90275800,338342221,223657779,19,19,62000000,276342221
90276300,338342221,223657779,19,19,62000000,276342221
90276800,338342221,223657779,19,19,62000000,276342221
90277300,338342221,223657779,19,19,62000000,276342221
90277800,338342221,223657779,19,19,62000000,276342221
90278300,338342221,223657779,19,19,62000000,276342221
90278800,338342221,223657779,19,19,62000000,276342221
90279300,338342221,223657779,19,19,62000000,276342221
90279800,338342221,223657779,19,19,62000000,276342221
90280300,338342221,223657779,19,19,62000000,276342221
90280800,338342221,223657779,19,19,62000000,276342221
90281300,338342221,223657779,19,19,62000000,276342221
90281800,338342221,223657779,19,19,62000000,276342221
90282300,338342221,223657779,19,19,62000000,276342221
90282800,338342221,223657779,19,19,62000000,276342221
90283300,338342221,223657779,19,19,62000000,276342221
90283800,338342221,223657779,19,19,62000000,276342221
90284300,338342221,223657779,19,19,62000000,276342221
90284800,338342221,223657779,19,19,62000000,276342221
90285300,338342221,223657779,19,19,62000000,276342221
90285800,338342221,223657779,19,19,62000000,276342221
90286300,338342221,223657779,19,19,62000000,276342221
90286800,338342221,223657779,19,19,62000000,276342221
90287300,338342221,223657779,19,19,62000000,276342221
90287800,338342221,223657779,19,19,62000000,276342221
90288300,338342221,223657779,19,19,62000000,276342221
90288800,338342221,223657779,19,19,62000000,276342221
90289300,338342221,223657779,19,19,62000000,276342221
90289800,338342221,223657779,19,19,62000000,276342221
90290300,338342221,223657779,19,19,62000000,276342221
90290800,338342221,223657779,19,19,62000000,276342221
90291300,338342221,223657779,19,19,62000000,276342221
90291800,338342221,223657779,19,19,62000000,276342221
90292300,338342221,223657779,19,19,62000000,276342221
90292800,338342221,223657779,19,19,62000000,276342221
90293300,338342221,223657779,19,19,62000000,276342221
90293800,338342221,223657779,19,19,62000000,276342221
90294300,338342221,223657779,19,19,62000000,276342221
90294800,338342221,223657779,19,19,62000000,276342221
90295300,338342221,223657779,19,19,62000000,276342221
90295800,338342221,223657779,19,19,62000000,276342221
90296300,338342221,223657779,19,19,62000000,276342221
90296800,338342221,223657779,19,19,62000000,276342221
90297300,338342221,223657779,19,19,62000000,276342221
90297800,338342221,223657779,19,19,62000000,276342221
90298300,338342221,223657779,19,19,62000000,276342221
90298800,338342221,223657779,19,19,62000000,276342221
90299300,338342221,223657779,19,19,62000000,276342221
90299800,338342221,223657779,19,19,62000000,276342221
90300300,338342221,223657779,19,19,62000000,276342221
90300800,338342221,223657779,19,19,62000000,276342221
90301300,338342221,223657779,19,19,62000000,276342221
90301800,338342221,223657779,19,19,62000000,276342221
90302300,338342221,223657779,19,19,62000000,276342221
90302800,338342221,223657779,19,19,62000000,276342221
90303300,338342221,223657779,19,19,62000000,276342221
90303800,338342221,223657779,19,19,62000000,276342221
90304300,338342221,223657779,19,19,62000000,276342221
90304800,338342221,223657779,19,19,62000000,276342221
90305300,338342221,223657779,19,19,62000000,276342221
90305800,338342221,223657779,19,19,62000000,276342221
90306300,338342221,223657779,19,19,62000000,276342221
90306800,338342221,223657779,19,19,62000000,276342221
90307300,338342221,223657779,19,19,62000000,276342221
90307800,338342221,223657779,19,19,62000000,276342221
90308300,338342221,223657779,19,19,62000000,276342221
90308800,338342221,223657779,19,19,62000000,276342221
90309300,338342221,223657779,19,19,62000000,276342221
90309800,338342221,223657779,19,19,62000000,276342221
90310300,338342221,223657779,19,19,62000000,276342221
90310800,338342221,223657779,19,19,62000000,276342221
90311300,338342221,223657779,19,19,62000000,276342221
90311800,338342221,223657779,19,19,62000000,276342221
90312300,338342221,223657779,19,19,62000000,276342221
90312800,338342221,223657779,19,19,62000000,276342221
90313300,338342221,223657779,19,19,62000000,276342221
90313800,338342221,223657779,19,19,62000000,276342221
90314300,338342221,223657779,19,19,62000000,276342221
90314800,338342221,223657779,19,19,62000000,276342221
90315300,338342221,223657779,19,19,62000000,276342221
90315800,338342221,223657779,19,19,62000000,276342221
90316300,338342221,223657779,19,19,62000000,276342221
90316800,338342221,223657779,19,19,62000000,276342221
90317300,338342221,223657779,19,19,62000000,276342221
90317800,338342221,223657779,19,19,62000000,276342221
90318300,338342221,223657779,19,19,62000000,276342221
90318800,338342221,223657779,19,19,62000000,276342221
90319300,338342221,223657779,19,19,62000000,276342221
90319800,338342221,223657779,19,19,62000000,276342221
90320300,338342221,223657779,19,19,62000000,276342221
90320800,338342221,223657779,19,19,62000000,276342221
90321300,338342221,223657779,19,19,62000000,276342221
90321800,338342221,223657779,19,19,62000000,276342221
90322300,338342221,223657779,19,19,62000000,276342221
90322800,338342221,223657779,19,19,62000000,276342221
90323300,338342221,223657779,19,19,62000000,276342221
90323800,338342221,223657779,19,19,62000000,276342221
90324300,338342221,223657779,19,19,62000000,276342221
90324800,338342221,223657779,19,19,62000000,276342221
90325300,338342221,223657779,19,19,62000000,276342221
90325800,338342221,223657779,19,19,62000000,276342221
90326300,338342221,223657779,19,19,62000000,276342221
90326800,338342221,223657779,19,19,62000000,276342221
90327300,338342221,223657779,19,19,62000000,276342221
90327800,338342221,223657779,19,19,62000000,276342221
90328300,338342221,223657779,19,19,62000000,276342221
90328800,338342221,223657779,19,19,62000000,276342221
90329300,338342221,223657779,19,19,62000000,276342221
90329800,338342221,223657779,19,19,62000000,276342221
90330300,338342221,223657779,19,19,62000000,276342221
90330800,338342221,223657779,19,19,62000000,276342221
90331300,338342221,223657779,19,19,62000000,276342221
90331800,338342221,223657779,19,19,62000000,276342221
90332300,338342221,223657779,19,19,62000000,276342221
90332800,338342221,223657779,19,19,62000000,276342221
90333300,338342221,223657779,19,19,62000000,276342221
90333800,338342221,223657779,19,19,62000000,276342221
90334300,338342221,223657779,19,19,62000000,276342221
90334800,338342221,223657779,19,19,62000000,276342221
90335300,338342221,223657779,19,19,62000000,276342221
90335800,338342221,223657779,19,19,62000000,276342221
90336300,338342221,223657779,19,19,62000000,276342221
90336800,338342221,223657779,19,19,62000000,276342221
90337300,338342221,223657779,19,19,62000000,276342221
90337800,338342221,223657779,19,19,62000000,276342221
90338300,338342221,223657779,19,19,62000000,276342221
90338800,338342221,223657779,19,19,62000000,276342221
90339300,338342221,223657779,19,19,62000000,276342221
90339800,338342221,223657779,19,19,62000000,276342221
90340300,338342221,223657779,19,19,62000000,276342221
90340800,338342221,223657779,19,19,62000000,276342221
90341300,338342221,223657779,19,19,62000000,276342221
90341800,338342221,223657779,19,19,62000000,276342221
90342300,338342221,223657779,19,19,62000000,276342221
90342800,338342221,223657779,19,19,62000000,276342221
90343300,338342221,223657779,19,19,62000000,276342221
90343800,338342221,223657779,19,19,62000000,276342221
